,State,Year,Rape,K&A,DD,AoW,AoM,DV,WT
0,ANDHRA PRADESH,2001,871,765,420,3544,2271,5791,7
1,ARUNACHAL PRADESH,2001,33,55,0,78,3,11,0
2,ASSAM,2001,817,1070,59,850,4,1248,0
3,BIHAR,2001,888,518,859,562,21,1558,83
4,CHHATTISGARH,2001,959,171,70,1763,161,840,0
5,GOA,2001,12,6,2,17,7,11,0
6,GUJARAT,2001,286,857,67,756,111,3667,0
7,HARYANA,2001,398,297,285,478,401,1513,0
8,HIMACHAL PRADESH,2001,124,105,10,310,14,317,0
9,JAMMU & KASHMIR,2001,169,504,13,622,288,50,0
10,JHARKHAND,2001,567,279,217,297,5,484,2
11,KARNATAKA,2001,293,271,220,1665,81,1755,0
12,KERALA,2001,562,97,27,1942,81,2561,0
13,MADHYA PRADESH,2001,2851,668,609,7063,751,2562,0
14,MAHARASHTRA,2001,1302,611,308,2823,1120,6090,1
15,MANIPUR,2001,20,62,0,21,0,5,0
16,MEGHALAYA,2001,26,11,0,25,0,4,0
17,MIZORAM,2001,52,1,0,52,0,16,3
18,NAGALAND,2001,17,6,0,6,0,0,0
19,ODISHA,2001,790,434,294,1655,458,1266,0
20,PUNJAB,2001,298,324,159,372,47,1128,0
21,RAJASTHAN,2001,1049,2165,376,2878,56,5532,1
22,SIKKIM,2001,8,2,0,0,14,0,0
23,TAMIL NADU,2001,423,607,191,1773,1012,815,14
24,TRIPURA,2001,102,35,16,58,0,227,0
25,UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0
26,UTTARAKHAND,2001,74,126,56,103,84,301,0
27,WEST BENGAL,2001,709,695,265,954,48,3859,3
28,A & N ISLANDS,2001,3,2,0,19,1,9,0
29,CHANDIGARH,2001,18,50,3,24,15,36,0
30,D & N HAVELI,2001,6,2,0,7,0,4,0
31,DAMAN & DIU,2001,0,3,0,0,0,4,0
32,LAKSHADWEEP,2001,0,0,0,0,0,0,0
33,PUDUCHERRY,2001,9,3,1,35,27,3,0
34,ANDHRA PRADESH,2002,1002,854,449,3799,2024,7018,0
35,ARUNACHAL PRADESH,2002,38,38,0,68,2,13,0
36,ASSAM,2002,970,1276,70,984,7,1694,0
37,BIHAR,2002,1040,744,927,621,6,1577,38
38,CHHATTISGARH,2002,992,154,85,1483,147,653,0
39,GOA,2002,12,5,2,18,6,8,0
40,GUJARAT,2002,267,807,62,750,104,3321,0
41,HARYANA,2002,361,290,256,454,1424,1565,0
42,HIMACHAL PRADESH,2002,137,116,6,326,12,234,0
43,JAMMU & KASHMIR,2002,192,596,18,785,368,54,0
44,JHARKHAND,2002,797,178,275,411,3,588,36
45,KARNATAKA,2002,292,300,233,1648,100,1826,0
46,KERALA,2002,499,91,17,2123,102,2836,0
47,MADHYA PRADESH,2002,2891,639,674,7118,783,3117,0
48,MAHARASHTRA,2002,1352,650,303,2686,769,5353,0
49,MANIPUR,2002,14,82,0,58,0,10,0
50,MEGHALAYA,2002,38,10,0,23,0,0,0
51,MIZORAM,2002,76,2,0,73,0,3,0
52,NAGALAND,2002,17,4,0,1,0,0,0
53,ODISHA,2002,691,432,248,1605,188,1167,0
54,PUNJAB,2002,299,354,166,341,145,944,0
55,RAJASTHAN,2002,1051,2019,399,2730,44,5691,0
56,SIKKIM,2002,6,2,0,17,0,3,0
57,TAMIL NADU,2002,534,714,243,1877,1718,1052,0
58,TRIPURA,2002,108,48,16,128,0,236,0
59,UTTAR PRADESH,2002,1415,2298,1893,2145,1887,5679,0
60,UTTARAKHAND,2002,89,155,66,145,97,316,1
61,WEST BENGAL,2002,759,694,273,964,34,4069,1
62,A & N ISLANDS,2002,2,1,0,17,3,4,0
63,CHANDIGARH,2002,18,47,1,36,28,56,0
64,D & N HAVELI,2002,4,5,0,3,0,3,0
65,DAMAN & DIU,2002,0,2,0,0,0,3,0
66,LAKSHADWEEP,2002,1,0,0,1,0,0,0
67,PUDUCHERRY,2002,6,6,5,59,26,9,0
68,ANDHRA PRADESH,2003,946,931,466,4128,2286,8167,5
69,ARUNACHAL PRADESH,2003,31,51,0,43,0,14,0
70,ASSAM,2003,1095,1351,60,878,6,1808,0
71,BIHAR,2003,985,674,909,688,11,1880,37
72,CHHATTISGARH,2003,898,149,79,1481,105,601,0
73,GOA,2003,31,13,2,19,7,24,0
74,GUJARAT,2003,236,859,54,722,92,3684,0
75,HARYANA,2003,353,271,222,344,1302,1618,0
76,HIMACHAL PRADESH,2003,126,96,6,250,18,221,0
77,JAMMU & KASHMIR,2003,211,615,10,875,376,71,0
78,JHARKHAND,2003,712,262,262,424,2,559,0
79,KARNATAKA,2003,321,244,194,1585,84,1704,0
80,KERALA,2003,394,102,33,1947,68,2930,0
81,MADHYA PRADESH,2003,2738,608,648,6848,705,2938,0
82,MAHARASHTRA,2003,1268,626,368,2661,682,5452,0
83,MANIPUR,2003,18,71,0,44,0,4,0
84,MEGHALAYA,2003,40,10,0,13,1,4,0
85,MIZORAM,2003,54,2,0,88,0,3,0
86,NAGALAND,2003,14,3,0,4,2,0,1
87,ODISHA,2003,725,373,279,1669,188,1289,0
88,PUNJAB,2003,380,295,110,346,199,987,0
89,RAJASTHAN,2003,1050,1750,389,2715,33,5733,1
90,SIKKIM,2003,10,0,0,25,0,1,0
91,TAMIL NADU,2003,557,632,220,2022,881,1555,1
92,TRIPURA,2003,114,29,20,127,0,247,0
93,UTTAR PRADESH,2003,911,1499,1322,1098,4970,2626,0
94,UTTARAKHAND,2003,107,134,93,136,98,317,0
95,WEST BENGAL,2003,1002,801,329,1186,71,4948,1
96,A & N ISLANDS,2003,2,2,0,9,2,7,0
97,CHANDIGARH,2003,18,28,1,11,4,93,0
98,D & N HAVELI,2003,1,4,0,4,0,2,0
99,DAMAN & DIU,2003,5,1,1,3,0,0,0
100,LAKSHADWEEP,2003,2,0,0,1,0,1,0
101,PUDUCHERRY,2003,2,13,1,56,27,4,0
102,ANDHRA PRADESH,2004,1016,1030,512,3817,2310,8388,2
103,ARUNACHAL PRADESH,2004,42,41,0,61,0,4,0
104,ASSAM,2004,1171,1552,74,883,11,1945,0
105,BIHAR,2004,1390,997,1029,704,13,2679,35
106,CHHATTISGARH,2004,969,174,71,1661,131,741,0
107,GOA,2004,37,10,2,23,15,17,0
108,GUJARAT,2004,339,905,58,757,164,3955,0
109,HARYANA,2004,386,292,251,403,850,2026,0
110,HIMACHAL PRADESH,2004,153,99,8,284,16,252,0
111,JAMMU & KASHMIR,2004,218,632,9,990,264,82,0
112,JHARKHAND,2004,797,178,275,411,3,588,36
113,KARNATAKA,2004,291,286,259,1435,57,1588,0
114,KERALA,2004,480,142,31,2260,133,3222,0
115,MADHYA PRADESH,2004,2875,584,751,6690,804,3436,0
116,MAHARASHTRA,2004,1388,787,314,2831,862,5646,0
117,MANIPUR,2004,31,71,0,30,0,2,0
118,MEGHALAYA,2004,54,18,2,34,0,5,0
119,MIZORAM,2004,20,0,0,66,0,0,0
120,NAGALAND,2004,18,4,0,3,1,0,0
121,ODISHA,2004,770,423,319,1811,170,1192,0
122,PUNJAB,2004,390,311,113,261,38,801,0
123,RAJASTHAN,2004,1038,1881,379,2825,41,6781,1
124,SIKKIM,2004,3,4,0,40,0,1,0
125,TAMIL NADU,2004,618,692,225,1861,1081,1437,0
126,TRIPURA,2004,160,54,20,134,0,302,0
127,UTTAR PRADESH,2004,1397,2324,1708,1900,2682,4950,3
128,UTTARAKHAND,2004,115,127,82,143,110,405,0
129,WEST BENGAL,2004,1475,1018,396,1566,64,6334,12
130,A & N ISLANDS,2004,10,3,0,6,3,5,0
131,CHANDIGARH,2004,19,43,6,20,18,73,0
132,D & N HAVELI,2004,7,7,0,5,0,3,0
133,DAMAN & DIU,2004,1,0,0,1,0,4,0
134,LAKSHADWEEP,2004,0,0,0,0,0,1,0
135,PUDUCHERRY,2004,4,8,6,50,30,2,0
136,ANDHRA PRADESH,2005,935,995,443,3595,2508,8696,3
137,ARUNACHAL PRADESH,2005,35,39,0,67,0,9,0
138,ASSAM,2005,1238,1456,99,899,19,2206,3
139,BIHAR,2005,1147,929,1014,451,13,1574,74
140,CHHATTISGARH,2005,990,184,100,1450,132,732,0
141,GOA,2005,20,12,2,30,8,11,0
142,GUJARAT,2005,324,916,48,802,104,4090,0
143,HARYANA,2005,461,344,212,380,597,2075,0
144,HIMACHAL PRADESH,2005,141,102,2,286,29,228,0
145,JAMMU & KASHMIR,2005,201,658,5,830,371,76,0
146,JHARKHAND,2005,753,283,257,293,36,590,4
147,KARNATAKA,2005,343,312,261,1585,71,1883,0
148,KERALA,2005,478,129,21,2339,175,3283,0
149,MADHYA PRADESH,2005,2921,604,739,6426,792,2989,3
